timestamp,message,data
2025-07-05T06:55:36.644Z,"🔄 Periodic fetch check","{""totalVideosInPipeline"":3,""readyQueue"":0,""processingQueue"":0,""rawVideoQueue"":3,""rawAudioQueue"":5}"
2025-07-05T06:55:36.645Z,"📹 Pipeline running low, fetching more raw videos","{""totalVideosInPipeline"":3}"
2025-07-05T06:55:36.646Z,"📹 Fetching raw video from Pexels","{""timestamp"":2956661.855000004}"
2025-07-05T06:55:36.646Z,"🎵 Fetching more raw audio","{""rawAudioQueue"":5}"
2025-07-05T06:55:36.646Z,"🎵 Fetching raw audio from Freesound","{""timestamp"":2956662.430000007}"
2025-07-05T06:55:37.238Z,"📹 Video added to raw queue","{""videoId"":""raw-video-1751698537238-2711145"",""originalId"":2711145,""duration"":16,""quality"":""hd"",""queueLength"":4,""blobCached"":true,""blobSize"":2174274}"
2025-07-05T06:55:38.358Z,"🎵 Audio added to raw queue","{""audioId"":""raw-audio-1751698538358-325142"",""originalId"":325142,""duration"":30.0549,""samplerate"":44100,""channels"":2,""queueLength"":6}"
2025-07-05T06:56:08.361Z,"🔄 Periodic fetch check","{""totalVideosInPipeline"":4,""readyQueue"":0,""processingQueue"":0,""rawVideoQueue"":4,""rawAudioQueue"":6}"
2025-07-05T06:56:38.362Z,"🎭 Added to processing queue","{""video"":""raw-video-1751698149241-1535674"",""audio"":""raw-audio-1751698150615-250856"",""preset"":{""name"":""Blends"",""type"":""blends""},""rawVideoQueueLength"":3,""rawAudioQueueLength"":5,""processingQueueLength"":1}"
2025-07-05T06:56:38.364Z,"🔄 Periodic fetch check","{""totalVideosInPipeline"":4,""readyQueue"":0,""processingQueue"":0,""rawVideoQueue"":4,""rawAudioQueue"":6}"
2025-07-05T06:56:38.370Z,"🎭 Processing queue item","{""video"":""raw-video-1751698149241-1535674"",""audio"":""raw-audio-1751698150615-250856"",""preset"":{""name"":""Blends"",""type"":""blends""},""queueLength"":1,""timestamp"":3018386.1150000095}"
2025-07-05T06:56:38.371Z,"🎭 Starting Blends processing","{""primaryVideo"":""raw-video-1751698149241-1535674"",""audio"":""raw-audio-1751698150615-250856"",""availableVideos"":3,""audioName"":""Epic Orchestra - LOOP.wav"",""timestamp"":3018386.7900000066}"
2025-07-05T06:56:38.371Z,"🎭 Step 1: Setting up FFmpeg","{""timestamp"":3018386.9650000036}"
2025-07-05T06:56:38.373Z,"🎭 Step 2: Loading FFmpeg core","{""timestamp"":3018388.7400000095}"
2025-07-05T06:56:39.050Z,"🎭 Step 3: FFmpeg loaded successfully","{""timestamp"":3019065.295000002}"
2025-07-05T06:56:39.050Z,"🎭 Step 4: Building Blends preset segments","{""timestamp"":3019065.425000012}"
2025-07-05T06:56:39.050Z,"🎭 Step 5: Gathering available videos","{""availableVideosCount"":4,""rawVideoQueueLength"":3,""timestamp"":3019065.480000004}"
2025-07-05T06:56:39.050Z,"🎭 Step 6: Processing videos","{""videosToProcess"":4,""timestamp"":3019065.525000006}"
